,GIS_ID_post,ADDRESS,num_condo_units,PID_prior,CM_ID_prior,ST_NUM_prior,ST_NAME_prior,UNIT_NUM_prior,ZIPCODE_prior,PTYPE_prior,LU_prior,LAND_VALUE_prior,BLDG_VALUE_prior,TOTAL_VALUE_prior,GROSS_TAX_prior,LAND_SF_prior,YR_BUILT_prior,YR_REMODEL_prior,GROSS_AREA_prior,LIVING_AREA_prior,NUM_FLOORS_prior,STRUCTURE_CLASS_prior,TT_RMS_prior,BED_RMS_prior,FULL_BTH_prior,HALF_BTH_prior,HEAT_TYP_prior,S_NUM_BLDG_prior,RES_UNITS_prior,COM_UNITS_prior,RC_UNITS_prior,PID_post,CM_ID_post,ST_NUM_post,ST_NAME_post,UNIT_NUM_post,ZIPCODE_post,PTYPE_post,LU_post,LAND_VALUE_post,BLDG_VALUE_post,TOTAL_VALUE_post,GROSS_TAX_post,LAND_SF_post,YR_BUILT_post,YR_REMODEL_post,GROSS_AREA_post,LIVING_AREA_post,NUM_FLOORS_post,STRUCTURE_CLASS_post,TT_RMS_post,BED_RMS_post,FULL_BTH_post,HALF_BTH_post,HEAT_TYP_post,R_EXT_CND_post,R_OVRALL_CND_post,R_INT_CND_post,S_NUM_BLDG_post,RES_UNITS_post,COM_UNITS_post,RC_UNITS_post,S_EXT_CND_post,prior_year,post_year,GIS_ID_prior,R_EXT_CND_prior,R_OVRALL_CND_prior,R_INT_CND_prior,S_EXT_CND_prior,CITY_post,BLDG_SEQ_post,NUM_BLDGS_post,LUC_post,LU_DESC_post,BLDG_TYPE_post,RES_FLOOR_post,CD_FLOOR_post,INT_COND_post,EXT_COND_post,OVERALL_COND_post,HLF_BTH_post,BDRM_COND_post,HEAT_TYPE_post,NUM_PARKING_post,CITY_prior,BLDG_SEQ_prior,NUM_BLDGS_prior,LUC_prior,LU_DESC_prior,BLDG_TYPE_prior,RES_FLOOR_prior,CD_FLOOR_prior,INT_COND_prior,EXT_COND_prior,OVERALL_COND_prior,HLF_BTH_prior,BDRM_COND_prior,HEAT_TYPE_prior,NUM_PARKING_prior,OBJECTID,LOC_ID,POLY_TYPE,MAP_NO,SOURCE,PLAN_ID,LAST_EDIT,BND_CHK,NO_MATCH,TOWN_ID,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength
10,100378000,447 FRANKFORT ST,4,100378000,,447,FRANKFORT ST,,2128.0,105.0,R3,142100,373900,516000,540768.0,3000.0,1900.0,0.0,5198.0,3651.0,3.0,R,17.0,8.0,3.0,0.0,W,,,,,100378000,100378000.0,447,FRANKFORT ST,,2128.0,995.0,CM,0,0,0,0.0,3000.0,1900.0,0.0,0.0,0.0,3.0,R,17.0,8.0,3.0,0.0,W,G,A,A,,3.0,0.0,0.0,G,2018,2019,100378000.0,G,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,100385000,15 SWIFT TE,4,100385000,,15,SWIFT TE,,2128.0,105.0,R3,82875,342030,424905,447850.0,2250.0,2017.0,0.0,2742.0,2462.0,3.0,R,14.0,5.0,3.0,0.0,F,,,,,100385002,100385000.0,15,SWIFT TE,1,2128.0,102.0,CD,0,362200,362200,3824.83,0.0,2017.0,,595.0,595.0,1.0,,,,,,,,,,,,,,,2019,2020,100385000,G,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,100533000.0,946 SARATOGA ST,10,100533000,,946,SARATOGA ST,,2128,,A,"$1,387,200.00 ","$1,178,400.00 ","$2,565,600.00 ","$27,374.95 ",17344.0,2019.0,,12749.0,8267.0,,D - Wood/Frame,,,,,,,,2.0,,100533000,0100533000,946,SARATOGA ST,,2128,,CM,0,0,0,$0.00,8901.0,2019.0,,,,,D - Wood/Frame,0.0,0.0,0.0,,,,,,,9.0,0.0,0.0,,2021,2022,100533000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,LR - Low Rise,3.0,,,E - Excellent,G - Good,0.0,,,0.0,EAST BOSTON,1.0,1.0,120.0,LUXURY APARTMENT,112 - APT 7-30 UNITS,3.0,,,,G - Good,,,,,,,,,,,,,,,,,,
13,100564000,82 WORDSWORTH ST,2,100564002,0100564000,82,WORDSWORTH ST,1,2128,,CD,0,"626,200","626,200","$6,813.05",,2016.0,,2139.0,1563.0,,,5.0,3.0,2.0,,,,1.0,0.0,0.0,100564000,100564000.0,82,WORDSWORTH ST,,2128.0,,CM,0,0,0,0.0,4202.0,,,4202.0,,,,,,,,,,,,,2.0,,,,2022,2023,100564000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,TH - Town House,3.0,,,G - Good,A - Average,,,,,EAST BOSTON,1.0,1.0,102.0,RESIDENTIAL CONDO,TH - Town House,3.0,1.0,G - Good,G - Good,A - Average,1.0,Average,F - Forced Hot Air,2.0,,,,,,,,,,,,,,
14,100567000,76 WORDSWORTH ST,3,100567000,,76,WORDSWORTH ST,,2128.0,,R2,177300,918300,1095600,11766.74,2500.0,,,4954.0,4624.05,,,12.0,6.0,6.0,,,,,,,100567000,100567000.0,76,WORDSWORTH ST,,2128.0,,CM,0,0,0, $-   ,"2,500",2021.0,,,,,,,,,,,,,,,2.0,0.0,0.0,,2023,2024,100567000,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,,E - Excellent,G - Good,,,,,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,3.0,,G - Good,G - Good,G - Good,0.0,,F - Forced Hot Air,0.0,,,,,,,,,,,,,,
15,100571000,66 WORDSWORTH ST,6,100571000,,66,WORDSWORTH ST,,2128.0,,R4,427100,252100,679200,7294.61,5000.0,2021.0,,6800.0,5100.0,,D - Wood/Frame,,,0.0,,,,,,,100571000,100571000.0,66,WORDSWORTH ST,,2128.0,,CM,0,0,0, $-   ,"5,000",2021.0,,,,,,,,,,,,,,,5.0,0.0,0.0,,2023,2024,100571000,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,LR - Low Rise,3.0,,,E - Excellent,G - Good,,,,,EAST BOSTON,1.0,1.0,111.0,APT 4-6 UNITS,111 - APT 4-6 UNITS,3.0,,,,A - Average,0.0,,,,,,,,,,,,,,,,,
16,100638000.0,58 BYRON ST,5,100638000,,58,BYRON ST,,2128,,RL,"$132,800.00 ",,"$132,800.00 ","$1,416.98 ",3333.0,,,,,,,,,,,,,,,,100638000,0100638000,58,BYRON ST,,2128,,CM,0,0,0,$0.00,3333.0,2019.0,,,,,,0.0,0.0,0.0,,,,,,,4.0,0.0,0.0,,2021,2022,100638000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,DK - Decker,4.0,,,G - Good,A - Average,0.0,,,0.0,EAST BOSTON,1.0,1.0,130.0,RESIDENTIAL LAND,99 - Vacant,,,,,A - Average,,,,,22146.0,F_786051_2965624,FEE,1,ASSESS,,20191107.0,,N,35.0,3425.05688477,269.24206328,3425.05675399258,269.242063297452
17,100644010,9 WORDSWORTH ST,2,100644010, ,9,WORDSWORTH ST,,2128,,R3,"190,400","577,800","768,200","$8,358.02",2246.0,1900.0,,4223.0,2901.0,,R - ,17.0,8.0,3.0,,,,0.0,0.0,0.0,100644010,,9,WORDSWORTH ST,,2128.0,,R3,196000,595000,791000,8495.34,2246.0,1900.0,,4223.0,2901.0,,,17.0,8.0,3.0,,,,,,,,,,,2022,2023,100644010.0,,,,,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,SD - Semi-Det,3.0,,G - Good,A - Average,G - Good,0.0,,W - Ht Water/Steam,0.0,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,SD - Semi-Det,3.0,,G - Good,A - Average,G - Good,0.0,,W - Ht Water/Steam,0.0,,,,,,,,,,,,,,
18,100661000,43 WORDSWORTH ST,4,100661000,,43,WORDSWORTH ST,,2128.0,,R3,190200,970900,1161100,12470.2172,2500.0,1899.0,2018.0,4379.0,3054.0,,,12.0,9.0,6.0,,,,,,,100661000,100661000.0,43,WORDSWORTH ST,,2128.0,,CM,0,0,0, $-   ,"2,500",1899.0,,,,,,,,,,,,,,,3.0,0.0,0.0,,2023,2024,100661000,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,,E - Excellent,G - Good,,,,,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,DK - Decker,3.0,,G - Good,G - Good,G - Good,0.0,,F - Forced Hot Air,0.0,21284.0,F_786444_2965612,FEE,1,ASSESS,,20191107.0,,N,35.0,2540.26342773,251.39957346,2540.26403080205,251.399573455656
19,100835001.0,631 SARATOGA ST,5,100835001,,631,SARATOGA ST,,2128,,R2,"$167,500.00 ","$326,400.00 ","$493,900.00 ","$5,269.91 ",2060.0,1880.0,2018.0,2016.0,1328.0,,R -,4.0,2.0,2.0,,,,,,,100835001,0100835001,631,SARATOGA ST,,2128,,CM,0,0,0,$0.00,2060.0,2019.0,,,,,R - ,4.0,2.0,2.0,,,,,,,4.0,0.0,0.0,,2021,2022,100835001.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,A - Average,E - Excellent,A - Average,0.0,,F - Forced Hot Air,0.0,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,TF - Two Fam Stack,2.0,,A - Average,A - Average,A - Average,,,F - Forced Hot Air,,,,,,,,,,,,,,,
20,100889000.0,601 BENNINGTON ST,4,100889000,,601,BENNINGTON ST,,2128,,R3,"$192,100.00 ","$308,700.00 ","$500,800.00 ","$5,343.54 ",2500.0,1890.0,,3579.0,2580.0,,R -,10.0,5.0,3.0,,,,,,,100889000,0100889000,601,BENNINGTON ST,,2128,,CM,0,0,0,$0.00,2500.0,1890.0,,,,,R - ,10.0,5.0,0.0,,,,,,,3.0,0.0,0.0,,2021,2022,100889000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,DK - Decker,3.0,,P - Poor,G - Good,A - Average,0.0,,W - Ht Water/Steam,0.0,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,DK - Decker,3.0,,P - Poor,A - Average,A - Average,,,W - Ht Water/Steam,,,,,,,,,,,,,,,
21,100906000,68 HORACE ST,2,100908000, ,68,HORACE ST,,2128,,R2,"239,800","547,800","787,600","$8,569.09",4600.0,1900.0,,3979.8,2419.8,,R - ,10.0,5.0,2.0,,,,0.0,0.0,0.0,100906000,,68,HORACE ST,,2128.0,,R2,194500,892500,1087000,11674.3772,2300.0,2017.0,,4082.0,2672.0,,,8.0,4.0,4.0,,,,,,,,,,,2022,2023,100908000.0,,,,,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,TF - Two Fam Stack,2.0,,G - Good,G - Good,G - Good,0.0,,F - Forced Hot Air,2.0,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,2.0,,A - Average,A - Average,A - Average,1.0,,F - Forced Hot Air,4.0,,,,,,,,,,,,,,
22,100979000.0,689 BENNINGTON ST,3,100979000,,689,BENNINGTON ST,,2128,,RL,"$93,500.00 ",,"$93,500.00 ",$997.65 ,1673.0,,,,,,,,,,,,,,,,100979000,0100979000,689,BENNINGTON ST,,2128,,CM,0,0,0,$0.00,1673.0,2020.0,,,,,,0.0,0.0,0.0,,,,,,,2.0,0.0,0.0,,2021,2022,100979000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,,G - Good,A - Average,0.0,,,0.0,EAST BOSTON,1.0,1.0,130.0,RESIDENTIAL LAND,99 - Vacant,,,,,A - Average,,,,,57923.0,F_787571_2965376,FEE,1,ASSESS,,20191107.0,,N,35.0,1672.03344727,177.05424219,1672.03360482193,177.054242186626
23,101124000.0,97 HORACE ST,3,101124000,,97,HORACE ST,,2128,,R2,"$237,700.00 ","$473,500.00 ","$711,200.00 ","$7,588.50 ",2887.0,1900.0,,3337.0,2309.0,,R -,13.0,7.0,2.0,,,,,,,101124000,0101124000,97,HORACE ST,,2128,,CM,0,0,0,$0.00,2887.0,1900.0,2019.0,,,,,0.0,0.0,0.0,,,,,,,2.0,0.0,0.0,,2021,2022,101124000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,,A - Average,A - Average,0.0,,,0.0,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,2.0,,A - Average,A - Average,A - Average,,,E - Electric,,,,,,,,,,,,,,,
24,101197000,29 ST ANDREW RD,3,101197000,,29,ST ANDREW RD,,2128.0,,R2,150500,385900,536400,5760.94,5858.0,1910.0,2022.0,4841.0,2625.4,,,10.0,6.0,2.0,,,,,,,101197000,101197000.0,29,ST ANDREW RD,,2128.0,,CM,0,0,0, $-   ,"6,786",2021.0,,,,,,,,,,,,,,,2.0,0.0,0.0,,2023,2024,101197000,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,DX - Duplex,3.0,,,G - Good,G - Good,,,,,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,2.0,,G - Good,G - Good,G - Good,0.0,,W - Ht Water/Steam,6.0,2018.0,F_790139_2965633,FEE,1,ASSESS,,20191107.0,,N,35.0,5710.92456055,328.62648787,5710.92459966441,328.626487868093
25,101299000,119 BARNES AV,5,101299000,,119,BARNES AV,,2128,,R4,"506,700","752,200","1,258,900","$13,696.83",,2020.0,,6804.0,4536.0,,D - Wood/Frame,0.0,0.0,0.0,,,,0.0,0.0,0.0,101299000,101299000.0,119,BARNES AV,,2128.0,,CM,0,0,0,0.0,6250.0,2021.0,,,,,,,,,,,,,,,4.0,,,,2022,2023,101299000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,,E - Excellent,G - Good,,,,,EAST BOSTON,1.0,1.0,111.0,APT 4-6 UNITS,111 - APT 4-6 UNITS,2.0,,,,G - Good,0.0,,,1.0,58734.0,F_790996_2965793,FEE,1,ASSESS,,20191107.0,,N,35.0,5743.52392578,342.02993384,5743.52426260905,342.029933835856
26,101461000.0,150  152 BAYSWATER ST,4,101461000,,150  152,BAYSWATER ST,,2128,,R2,"$227,300.00 ","$169,000.00 ","$396,300.00 ","$4,228.52 ",4205.0,1920.0,,4186.0,2612.0,,R -,13.0,6.0,2.0,,,,,,,101461000,0101461000,150  152,BAYSWATER ST,,2128,,CM,0,0,0,$0.00,4205.0,1920.0,2019.0,,,,R - ,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,2021,2022,101461000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,FS - Free Standing,3.0,,,G - Good,P - Poor,0.0,,,0.0,EAST BOSTON,1.0,1.0,104.0,TWO-FAM DWELLING,CV - Conventional,2.0,,P - Poor,P - Poor,P - Poor,,,W - Ht Water/Steam,,29888.0,F_791139_2965010,FEE,1,ASSESS,,20191107.0,,N,35.0,4427.15820313,284.12591217,4427.15831676982,284.125912179425
27,101590000.0,23 BREED ST,5,101590000,,23,BREED ST,,2128,,R4,"$277,200.00 ","$622,400.00 ","$899,600.00 ","$9,598.73 ",2970.0,1907.0,,3864.0,2898.0,,C - Brick/Concr,,,,,,,,4.0,,101590000,0101590000,23,BREED ST,,2128,,CM,0,0,0,$0.00,2970.0,1907.0,2006.0,,,,,0.0,0.0,0.0,,,,,,,4.0,0.0,0.0,,2021,2022,101590000.0,,,,,EAST BOSTON,1.0,1.0,995.0,CONDO MAIN,SD - Semi-Det,3.0,,,A - Average,A - Average,0.0,,,0.0,EAST BOSTON,1.0,1.0,111.0,APT 4-6 UNITS,111 - APT 4-6 UNITS,3.0,,,,A - Average,,,,,23345.0,F_789549_2966780,FEE,1,ASSESS,,20191107.0,,N,35.0,3084.7175293,263.29966952,3084.71779591839,263.29966951956
28,101667005,200 WM F MCCLELLAN HW,2,101667005, ,200,WM F MCCLELLAN HW,,2128,,C,"672,400","678,500","1,446,200","$36,126.08",14500.0,1900.0,1965.0,4052.0,4052.0,,C - Brick/Concr,0.0,0.0,0.0,,,,0.0,1.0,0.0,101667005,,200,WM F MCCLELLAN HW,,2128.0,,C,672400,815500,1583200,39073.38,14500.0,1900.0,1965.0,4052.0,4052.0,,C - Brick/Concr,,,0.0,,,,,,,,,,,2022,2023,101667005.0,,,,,EAST BOSTON,1.0,1.0,332.0,REPAIR GARAGE,332 - REPAIR GARAGE,,,,,G - Good,0.0,,,,EAST BOSTON,1.0,1.0,332.0,REPAIR GARAGE,332 - REPAIR GARAGE,1.0,,,,G - Good,0.0,,,0.0,,,,,,,,,,,,,,
29,101682000,19 ASHLEY ST,2,101682000, ,19,ASHLEY ST,,2128,,R3,"227,900","935,400","1,163,300","$12,656.70",3085.0,1915.0,,5114.0,3555.0,,R - ,19.0,9.0,3.0,,,,0.0,0.0,0.0,101682000,,19,ASHLEY ST,,2128.0,,R3,239400,982700,1222100,13125.3572,3085.0,1915.0,,5114.0,3555.0,,,19.0,9.0,3.0,,,,,,,,,,,2022,2023,101682000.0,,,,,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,DK - Decker,3.0,,A - Average,G - Good,A - Average,0.0,,W - Ht Water/Steam,0.0,EAST BOSTON,1.0,1.0,105.0,THREE-FAM DWELLING,DK - Decker,3.0,,A - Average,G - Good,A - Average,0.0,,W - Ht Water/Steam,0.0,59380.0,F_789950_2966855,FEE,1,ASSESS,,20191107.0,,N,35.0,2979.74951172,242.67835288,2979.7494778485,242.678352877707
